0	1	2	3	4	5	6	7	8	9	10
出售东方现代城有证可分期。	东方现代城南苑	巩义东区-中心	住宅	3室2厅2卫	134平米	简单装修	中/18	西	2010年	5672元/平米
求购房子	浪漫	巩义市区-中心	住宅	3室2厅1卫	120平米	中等装修	/	采光好	10年	面议/平米
出售东方现代城北苑毛坯房两室两厅	东方现代城北苑	巩义东区-中心	住宅	2室2厅1卫	91平米	毛坯	16/17	南	1年	6154元/平米
急售大首领5楼有证能分期	大首领	巩义市区-中心	住宅	3室2厅2卫	125平米	中等装修	5/7	西	0年	6000元/平米
出售华树世家140平方三室两厅两卫88万有证能分期	华树世家	巩义市区-中心	住宅	3室2厅2卫	140平米	豪华装修	3/6		0年	6286元/平米
急售水务公司家属楼小三室电梯双气	水务公司家属楼	巩义市区-中心	住宅	3室1厅1卫	102平米	毛坯	8/22		0年	4412元/平米
急售明阳花园三楼三室两厅140平方有证能分期		巩义市区-中心	住宅	3室2厅2卫	140平米	中等装修	3/6	东	10年	5357元/平米
汽车站家属楼 精装两室 仅26		巩义市区-中心	住宅	2室2厅1卫	90平米	豪华装修	5/6	南北	2000年	2889元/平米
人民东路142平 豪华装修 只要48万	华英大厦	巩义市区-中心	住宅	3室2厅2卫	142平米	豪华装修	4/7	南	2000年	3380元/平米
森海玉波苑89平精装两室有证可过户出售	森海玉波苑东区	巩义东区-中心	住宅	2室2厅1卫	89平米	中等装修	低/18	南	2013年	6517元/平米
钢苑新区电梯房小3室出售需全款50万电梯房		巩义市区-中心	住宅	3室1厅1卫	92平米	毛坯	中/12	南北	2010年	5435元/平米
售宇华中央名苑一期精装好楼层有证可分期	宇华名苑	巩义东区-中心	住宅	3室2厅2卫	154平米	豪华装修	中/12	南北	2012年	6948元/平米
宋陵公园东门口有证四楼三室出售		巩义市区-中心	住宅	3室2厅1卫	120平米	简单装修	5/6	东南	1998年	3333元/平米
出售宇华小区130平精装三室 45万	宇华苑小区	巩义市区-中心	住宅	3室2厅2卫	130平米	豪华装修	5/6	南北	2002年	3462元/平米
世博一品城 双气三室 精装修 首付47W 欲购从速	世博一品城	巩义东区-中心	住宅	3室2厅2卫	124平米	豪华装修	高/28	南北	2014年	6395元/平米
世博一品城，可分期，首付48	世博一品城	巩义东区-中心	住宅	3室2厅2卫	124平米	毛坯	低/18	南北	2015年	6774元/平米
售锦豪园三室双气步梯中层140平一口价45万	锦豪园商住区	巩义市区-中心	住宅	3室2厅2卫	140平米	简单装修	中/6	东	2005年	3214元/平米
急售尚城华府楼王好楼层三室两厅两卫133平方	尚城华府	巩义东区-中心	住宅	3室2厅2卫	133平米	毛坯	12/18	东	8年	7068元/平米
正和紫荆城133平可走一手房可公积金商贷	正和紫荆城	巩义东区-中心	住宅	3室2厅2卫	134平米	毛坯	中/26	南北	2017年	6567元/平米
售清河湾小三室双气电梯精装套房	清河湾	巩义市区-中心	住宅	3室1厅1卫	95平米	豪华装修	高/18	南	2015年	6316元/平米
中孚花园三室两厅两卫92万	中孚花园	巩义市区-中心	住宅	3室2厅2卫	139平米	豪华装修	高/29	南	2013年	6619元/平米
中原西路绕城高速10号线	东润玺城	巩义东区-周边	住宅	3室2厅1卫	88平米	中等装修	6/23	向南	70年	8750元/平米
出售金属新区（菜市场）三室二厅二卫		巩义市区-中心	住宅	3室2厅2卫	147平米	中等装修	5/7	南北	2000年	3946元/平米
出售新华路一级商圈民和苑套房		巩义市区-中心	住宅	2室2厅1卫	103平米	中等装修	低/6	南北	2002年	7670元/平米
新兴家园二期 4500/平 双气电梯房		巩义东区-中心	住宅	4室2厅2卫	155.9平米	毛坯	8/16	坐北朝南	1年	面议/平米
急售紫荆花园双气三室两厅两卫有证能分期	紫荆花园	巩义市区-中心	住宅	3室2厅2卫	143平米	简单装修	5/6		0年	4965元/平米
星月一期	星月一期	巩义市区-中心	住宅	3室2厅2卫	130平米	豪华装修	4/6		0年	5692元/平米
东区盛威凯旋门	盛威凯旋门	巩义东区-中心	住宅	3室1厅1卫	93平米	毛坯	/		年	面议/平米
出售建业壹号城邦2号楼一单元14楼两室毛坯带车位	建业壹号城邦	巩义东区-中心	住宅	2室2厅1卫	89平米	毛坯	/		年	6966元/平米
东区颐豪园套房出售	颐豪园	巩义东区-中心	住宅	3室2厅2卫	140平米	简单装修	/		年	5000元/平米
限期1个月抢购建业1号城邦现房	建业壹号城邦	巩义东区-中心	住宅	3室2厅1卫	121平米	毛坯	32/33		年	6398元/平米
